FECHA_CORTE;ITEM;NOMBRE_DEL_CLUB;DISCIPLINA_DEPORTIVA;CONDICION;N°_DE_RESOLUCION_INSCRIPCION_PRIMIGENIA;FECHA_DE_REGISTRO;OBSERVACIONES;;
20240229;48;ASOCIACIÓN CLUB JULIO ERNESTO GRANDA ILO;AJEDREZ;AFILIADO;670-DINADAF-RND-2016;18/10/2016; 0376-DNCTD-RND-2021, Periodo 31 de mayo de 2021 al 31 de diciembre de 2024;;
20240229;49;CLUB DE AJEDREZ MONSERRATE;AJEDREZ;AFILIADO;898-DINADAF-RND-2016;20/12/2016;;;
20240229;50;CLUB DE AJEDREZ TRUJILLO;AJEDREZ;AFILIADO;897-DINADAF-RND-2016;20/12/2016;;;
20240229;51;CLUB DE AJEDREZ VLADIMIR KRAMNIK;AJEDREZ;AFILIADO;900-DINADAF-RND-2016;20/12/2016;;;
20240229;52;CLUB DEPORTIVO LAS LOMAS;AJEDREZ;AFILIADO;899-DINADAF-RND-2016;20/12/2016;;;
20240229;53;CLUB DEPORTIVO SHANCAYAN;AJEDREZ;AFILIADO;896-DINADAF-RND-2016;20/12/2016;;;
20240229;54;CLUB DE AJEDREZ JUDIT POLGAR;AJEDREZ;AFILIADO;911-DINADAF-RND-2016;22/12/2016; 0467-2021-IPD-DNCTD/, Periodo 18 de junio del 2021 al 31 de diciembre del 2024;;
20240229;55;ESCUELA Y CLUB AJEDREZ SURCO;AJEDREZ;AFILIADO;024-DINADAF-RND-2017;23/01/2017;;;
20240229;56;CLUB DE AJEDREZ MAGDALENA;AJEDREZ;AFILIADO;028-DINADAF-RND-2017;24/01/2017;;;
20240229;57;ACADEMIA DEPORTIVA SAENZ PEÑA;AJEDREZ;AFILIADO;355-DINADAF-RND-2017;20/03/2017;;;
20240229;58;CLUB DE AJEDREZ ANCASH;AJEDREZ;AFILIADO;359-DINADAF-RND-2017;20/03/2017;;;
20240229;59;CLUB DE AJEDREZ DE BREÑA;AJEDREZ;AFILIADO;358-DINADAF-RND-2017;20/03/2017;;;
20240229;60;CLUB DE AJEDREZ ENROQUE CASMA;AJEDREZ;AFILIADO;357-DINADAF-RND-2017;20/03/2017; 0466-2021-IPD-DNCTD/RND, Periodo 19 de junio del 2021 al 31 de diciembre del 2024;;
20240229;61;CLUB DEPORTIVO DE AJEDREZ GENIOS-JULIACA;AJEDREZ;AFILIADO;356-DINADAF-RND-2017;20/03/2017;;;
20240229;62;CLUB ESCUELA INTEGRAL DE AJEDREZ JAQUE MATHEUS;AJEDREZ;AFILIADO;361-DINADAF-RND-2017;20/03/2017;;;
20240229;63;CLUB INTERNACIONAL HUARAZ;AJEDREZ;AFILIADO;360-DINADAF-RND-2017;20/03/2017;;;
20240229;64;ASOCIACIÓN CLUB GARY KASPAROV ILO;AJEDREZ;AFILIADO;394-DINADAF-RND-2017;27/03/2017; 0374-DNCTD-RND-2021, Periodo 31 de mayo de 2021 al 31 de diciembre de 2024;;
20240229;65;CLUB DEPORTIVO CULTURAL PERÚ VIENTOS DE PAZ Y EL REY AGUILA BLANCA;AJEDREZ;AFILIADO;409-DINADAF-RND-2017;28/03/2017;;;
20240229;66;CLUB ALEXANDRA KOSTENIUK DE TINGO MARÍA;AJEDREZ;AFILIADO;453-DINADAF-RND-2017;30/03/2017;;;
20240229;67;CLUB DE ATLETISMO CUSIRUNNERS;AJEDREZ;AFILIADO;526-DINADAF-RND-2017;11/04/2017;;;
20240229;68;CLUB DEPORTIVO REGATAS CUSCO;AJEDREZ;AFILIADO;532-DINADAF-RND-2017;11/04/2017;;;
20240229;69;CLUB RENZO SPORT;AJEDREZ;AFILIADO;527-DINADAF-RND-2017 ;11/04/2017; 0101-DNCTD-RND-2020, Periodo de cuatro (04) años (elegida en asamblea general extraortinaria de fecha 30 de setiembre de 2019);;
20240229;70;ASOCIACIÓN CLUB DEPORTIVO AJEDREZ AQP;AJEDREZ;AFILIADO;594-DINADAF-RND-2017;21/04/2017; 0468-2021-IPD-DNCTD/RND, Periodo 01 de junio del 2021 hasta el 01 de junio del 2024;;
20240229;71;CLUB DEPORTIVO RAQUETAS PUCALLPA;AJEDREZ;AFILIADO;593-DINADAF-RND-2017;21/04/2017;;;
20240229;72;CLUB DEPORTIVO CHESS CAISSA;AJEDREZ;AFILIADO;961-DINADAF-RND-2017;08/08/2017; 0372-DNCTD-RND-2021, Periodo 09 de abril de 2020 al 08 de abril de 2024;;
20240229;73;CLUB DE AJEDREZ LORETO CHESS;AJEDREZ;AFILIADO;1375-DINADAF-RND-2017;22/12/2017; 0081-DNCTD-RND-2020, Periodo 08 de setiembre de 2019 al 07 de setiembre de 2021;;
20240229;74;REAL CHESS CLUB;AJEDREZ;AFILIADO;0049-DINADAF-RND-2018;17/01/2018; 0407-DNCTD-RND-2021, Periodo 2021-2023;;
20240229;75;CLUB DEPORTIVO RAMÓN CASTILLA Y MARQUESADO;AJEDREZ;AFILIADO;0067-DINADAF-RND-2018;25/01/2018;;;
20240229;76;KAMELOT CHESS CLUB;AJEDREZ;AFILIADO;0193-DINADAF-RND-2018;16/02/2018;;;
20240229;77;CLUB DE AJEDREZ EL CABALLO NEGRO;AJEDREZ;AFILIADO;0388-DINADAF-RND-2018;08/03/2018;;;
20240229;78;CLUB DEPORTIVO LOS AMIGOS DE YASON;AJEDREZ;AFILIADO;579-DINADAF-RND-2018;05/04/2018;;;
20240229;79;CLUB DEPORTIVO LOS ALFILES DE PAITA;AJEDREZ;AFILIADO;0817-DINADAF-RND-2018;04/05/2018; 040-DNCTD-RND-2020, Periodo 01 de octubre de 2019 al 01 de octubre de 2023;;
20240229;80;CLUB DEPORTIVO CULTURAL REY GERRERO;AJEDREZ;AFILIADO;0929-DINADAF-RND-2018;04/06/2018; 0375-DNCTD-RND-2021, Periodo 03 de junio de 2021 al 31 de diciembre de 2024;;
20240229;81;CLUB DEPORTIVO CULTURAL JUVENIL AMIGOS POR SIEMPRE;AJEDREZ;AFILIADO;0931-DINADAF-RND-2018;05/06/2018; 0377-DNCTD-RND-2021, Periodo 02 de junio de 2021 al 31 de diciembre de 2024;;
20240229;82;CLUB DEPORTIVO CULTURAL PEON OCH8;AJEDREZ;AFILIADO;0930-DINADAF-RND-2018;05/06/2018; 0411-DNCTD-RND-2021, Periodo 23 de junio del 2021 al 23 de junio del 2023;;
20240229;83;CLUB INTERNACIONAL AREQUIPA;AJEDREZ;AFILIADO;0474-DNCTD-RND-2019;12/06/2019;"0116-DNCTD-RND-2020, Inscribió su ampliación de actividad deportiva a la disciplina deportiva de Ajedrez.
0598-2023-RENADE/IPD. periodo 09 de abril de 2023 al 08 de abril de 2025";;
20240229;84;CLUB DE AJEDREZ ARPARD ELO;AJEDREZ;AFILIADO;0966-DNCTD-RND-2019;20/12/2019;Periodo  de cuatro (04) años;;
